"Year","est","lwr","upr","log_est","se","type","effort","replicate"
2008,1167036.43559687,969257.84838286,1405172.05435376,13.9699781323725,0.0947426488239443,"index",0.8,8
2009,1141597.34407994,951400.356128513,1369817.12022223,13.9479390186529,0.0929857807539746,"index",0.8,8
2010,1104033.07955097,921530.711101721,1322678.69758305,13.9144804687317,0.0921900031459401,"index",0.8,8
2011,1209215.84401917,1007693.75646162,1451039.01661684,14.0054826446954,0.093015880758319,"index",0.8,8
2012,1244550.01294999,1036294.11791273,1494657.46061898,14.0342845871659,0.093431833187206,"index",0.8,8
2013,1268283.18255798,1035570.67766683,1553290.630808,14.0531747191379,0.103426138756002,"index",0.8,8
2014,1267764.95557234,1056017.11983976,1521971.52146664,14.052766030529,0.0932420579582605,"index",0.8,8
2015,1292460.67556566,1079386.98732049,1547595.64225471,14.0720584598076,0.0919173146085503,"index",0.8,8
2016,1453187.64673288,1211813.15469161,1742640.21515302,14.1892700785587,0.0926760945915873,"index",0.8,8
2017,1536204.53758068,1279871.71653745,1843875.7187853,14.2448253463118,0.0931419854311767,"index",0.8,8
2018,1623082.84452469,1358448.54467007,1939269.56639362,14.2998378892635,0.0908098618715581,"index",0.8,8
2019,1652555.16765782,1311528.00858999,2082257.15674084,14.3178332345125,0.117925534410407,"index",0.8,8
2021,1772380.93467697,1472786.62653801,2132918.72767105,14.3878343614661,0.0944749670730291,"index",0.8,8
2022,1854983.76064972,1530423.8532247,2248373.70707718,14.4333864996186,0.0981299747755014,"index",0.8,8
2023,1970032.23134484,1628707.14322271,2382888.17525425,14.4935604616691,0.097074930342948,"index",0.8,8
2024,1837674.55434528,1533878.98873437,2201638.97705816,14.4240115011194,0.0921961479085359,"index",0.8,8
2003,1189794.04415227,971652.519430586,1456909.58361307,13.989290777968,0.103337229834682,"index",0.8,9
2004,1282930.07139412,1036191.98323924,1588421.44574603,14.0646571381327,0.108978605309657,"index",0.8,9
2005,1507423.31006027,1246838.88756404,1822468.85173154,14.2259123340243,0.096833574103927,"index",0.8,9
2006,1449624.67381242,1209343.40913281,1737646.79168561,14.1868152352438,0.0924645062161913,"index",0.8,9
2007,1290132.04492428,1079546.0527222,1541796.84057334,14.0702551315058,0.0909220494480709,"index",0.8,9
2008,1283062.76770707,1072125.21001644,1535501.68440763,14.0647605650099,0.0916379853129358,"index",0.8,9
2009,1134475.29913479,946249.495673224,1360142.55250016,13.9416808104968,0.0925625476632585,"index",0.8,9
2010,1147375.80075989,959568.61830392,1371940.6856972,13.9529879804271,0.0912000808775675,"index",0.8,9
2011,1218734.84474714,1018498.74285289,1458337.21663746,14.0133238661376,0.091574940773122,"index",0.8,9
2012,1230611.4231535,1026605.01505567,1475157.87726183,14.023021695834,0.092478169525367,"index",0.8,9
2013,1322033.05430596,1089090.23089869,1604799.44369287,14.0946813023384,0.098893678010558,"index",0.8,9
2014,1262283.82468481,1057471.83395954,1506763.96561298,14.048433197498,0.0903290284414818,"index",0.8,9
2015,1342319.02092969,1123791.87301752,1603339.90413326,14.1099092887766,0.0906599122445092,"index",0.8,9
2016,1478529.23452227,1242872.16716792,1758868.49435068,14.2065583911751,0.0885847237613758,"index",0.8,9
2017,1484213.15964627,1245722.16393017,1768362.77546606,14.2103953309701,0.0893737646640814,"index",0.8,9
2018,1684411.76719509,1416608.68880581,2002841.73313737,14.3369269612317,0.0883437842487335,"index",0.8,9
2019,1613624.85882078,1285681.28597862,2025218.2351884,14.293993671317,0.115917615657432,"index",0.8,9
2021,1865746.08993474,1556591.43985439,2236301.94987606,14.4391715792845,0.0924315785797841,"index",0.8,9
2022,2012172.94497701,1666868.35756481,2429010.03076965,14.5147257632557,0.0960571601280794,"index",0.8,9
2023,1997231.32367108,1663084.59757451,2398514.76351264,14.5072724412785,0.0934138664698451,"index",0.8,9
2024,1886366.75304711,1576680.13253143,2256881.05886662,14.450163184059,0.091497176985081,"index",0.8,9
2003,1277339.74804586,1049968.80135058,1553947.91715631,14.0602901513487,0.10001160439788,"index",0.9,1
2004,1339530.32483448,1083377.07622345,1656248.34651852,14.1078296066314,0.108285644751858,"index",0.9,1
2005,1552085.93418697,1285589.62509287,1873825.59728343,14.2551103481583,0.0961151971979504,"index",0.9,1
2006,1491788.19304067,1240638.67602676,1793779.32987117,14.2154860878993,0.0940574536363303,"index",0.9,1
2007,1414181.38347774,1187206.91138619,1684549.64858645,14.1620613940703,0.0892605285028231,"index",0.9,1
2008,1299044.66214101,1079407.23813069,1563373.83577256,14.0771396770024,0.0945002477703379,"index",0.9,1
2009,1208700.23547288,999530.710425077,1461642.19267549,14.0050561546625,0.0969482081930066,"index",0.9,1
2010,1121770.25645584,941176.423723963,1337016.60661026,13.930418581581,0.089559143234785,"index",0.9,1
2011,1211297.9670961,1012922.05952052,1448524.84088033,14.0072030427207,0.09125331083473,"index",0.9,1
2012,1250782.05847812,1049915.86352885,1490077.26443193,14.0392795604256,0.0893174430019451,"index",0.9,1
2013,1237721.40142274,1020054.31406683,1501835.97717669,14.028782667663,0.0986835657495697,"index",0.9,1
2014,1193017.29006434,1012253.84823959,1406060.60117006,13.9919961939041,0.0838312640659579,"index",0.9,1
2015,1300745.48386839,1106989.56751665,1528414.41640648,14.0784481072022,0.0822940222025886,"index",0.9,1
2016,1485892.41390469,1263113.14880924,1747963.96330835,14.2115261018439,0.0828770928783239,"index",0.9,1
2017,1566188.67702989,1334156.64589689,1838574.93765857,14.2641556316916,0.0818105376847464,"index",0.9,1
2018,1582102.84980237,1351168.4334122,1852507.33029017,14.2742654377138,0.0805041095892955,"index",0.9,1
2019,1554960.52927214,1259975.76404376,1919006.94965297,14.2569607201686,0.107327317221689,"index",0.9,1
2021,1823701.52941864,1544686.62930691,2153114.55754374,14.4163788010396,0.0847195068559827,"index",0.9,1
2022,1892350.56024478,1599475.29719199,2238853.35968955,14.4533302969724,0.0857893839516868,"index",0.9,1
2023,1937046.79549354,1643392.35775805,2283173.74741268,14.4766751008446,0.0838800753155862,"index",0.9,1
2024,1821876.45675805,1550526.52763502,2140713.98620443,14.4153775481134,0.0822833597581722,"index",0.9,1
2003,1157829.17246583,957851.497853894,1399557.65128154,13.9620574067735,0.0967412544365005,"index",0.9,10
2004,1311117.98928763,1070457.13211027,1605884.37431847,14.0863907581527,0.103468440378578,"index",0.9,10
2005,1331397.23791742,1115698.58521693,1588797.03588535,14.1017395035765,0.0901793116903545,"index",0.9,10
2006,1328704.75940327,1119110.62650816,1577553.01025911,14.0997151605729,0.0875885054939135,"index",0.9,10
2007,1225528.69690321,1038920.50978755,1445654.95895388,14.0188828981618,0.0842822310872631,"index",0.9,10
2008,1188283.20449512,1000422.91552478,1411420.06262872,13.9880201381171,0.0878009776653929,"index",0.9,10
2009,1066917.29189301,899903.219795,1264927.69744686,13.8802840126525,0.0868595091706508,"index",0.9,10
2010,1025429.30725026,867320.856324291,1212360.17386233,13.8406219192089,0.085439149254742,"index",0.9,10
2011,1120843.40535818,946452.728342773,1327366.810527,13.9295920003769,0.0862851036900012,"index",0.9,10
2012,1165010.65188859,983045.847001371,1380657.7009139,13.9682407881921,0.0866494239744829,"index",0.9,10
2013,1253279.98449537,1043926.5637902,1504618.02009705,14.0412746602298,0.0932542423830225,"index",0.9,10
2014,1179983.45065559,997806.116618348,1395422.33769814,13.9810109714754,0.0855611165833976,"index",0.9,10
2015,1310335.07397472,1109936.62586937,1546915.35180533,14.0857934441309,0.0846852123778202,"index",0.9,10
2016,1398572.03931559,1183096.83974047,1653291.33123577,14.1509623021427,0.0853670293907764,"index",0.9,10
2017,1391348.83159155,1180169.56800843,1640316.46269101,14.1457842170302,0.0839890582218967,"index",0.9,10
2018,1557956.01684833,1322338.03499932,1835557.08615397,14.2588852744934,0.083661388363097,"index",0.9,10
2019,1481148.35026928,1191219.70005421,1841642.17180557,14.20832825722,0.111144878545072,"index",0.9,10
2021,1676672.37360316,1414722.77361752,1987124.47472349,14.3323216571415,0.0866737900908818,"index",0.9,10
2022,1760920.5979403,1476154.98751875,2100620.44871222,14.381347297274,0.0899996198611223,"index",0.9,10
2023,1881834.58720322,1582171.87899092,2238253.29006156,14.4477577032367,0.0884958277563449,"index",0.9,10
2024,1683286.01244246,1424051.21614249,1989712.00443181,14.336258400768,0.0853291516516021,"index",0.9,10
2003,1234933.93222313,1017938.82227343,1498186.1223743,14.0265280304376,0.0985924505111849,"index",0.9,2
2004,1385498.47935986,1130091.31376797,1698629.13989497,14.1415705457457,0.103961884649417,"index",0.9,2
2005,1408624.88545077,1179016.3285822,1682948.75974896,14.1581245279348,0.0907840656237872,"index",0.9,2
2006,1348875.24882643,1135572.63395804,1602243.99786285,14.1147816541356,0.087825108274334,"index",0.9,2
2007,1308949.74712297,1110692.39825703,1542595.81066908,14.0847356538747,0.0837982198343625,"index",0.9,2
2008,1268524.92014822,1067463.11428078,1507457.68308935,14.0533653031956,0.0880474510939349,"index",0.9,2
2009,1053165.86643401,887124.08379609,1250285.45891293,13.8673112966925,0.0875379114095342,"index",0.9,2
2010,1108668.60076963,936420.2633597,1312600.88490881,13.918670394596,0.086149920060912,"index",0.9,2
2011,1148180.32070892,968745.987793027,1360850.07367782,13.9536889173151,0.0867011846377736,"index",0.9,2
2012,1203025.54481181,1013379.05986138,1428162.98342273,14.0003502289889,0.0875267718094088,"index",0.9,2
2013,1308548.1468105,1090377.35860334,1570372.16428857,14.084428795698,0.0930600777827845,"index",0.9,2
2014,1235846.76825419,1043393.15716121,1463798.40055663,14.02726693541,0.086368078907922,"index",0.9,2
2015,1349416.2335855,1142265.0652559,1594134.51995587,14.115182637328,0.0850316078246481,"index",0.9,2
2016,1532649.5005085,1293806.55661759,1815584.00627525,14.2425084953842,0.0864348765692703,"index",0.9,2
2017,1571331.6776713,1331746.54740006,1854018.8792482,14.2674340201426,0.0844057284726591,"index",0.9,2
2018,1689073.03874365,1434313.81983527,1989081.95037706,14.3396904386345,0.0834164920584653,"index",0.9,2
2019,1604870.6359917,1292796.01903326,1992278.53454749,14.2885537106696,0.110326426897604,"index",0.9,2
2021,1834166.43115835,1546585.99410243,2175221.10637022,14.4221006753139,0.0870119050506119,"index",0.9,2
2022,1800826.44373676,1510477.46997501,2146987.25729105,14.4037562529053,0.0897056732684483,"index",0.9,2
2023,1987157.80256366,1668635.2982475,2366482.4401335,14.5022159358761,0.0891339196119742,"index",0.9,2
